# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "4" "-a" "index/reference.gff" "-o" "counts.txt" "bam/SRR10379724.bam" "bam/SRR10379725.bam" "bam/SRR10379726.bam" "bam/SRR10379721.bam" "bam/SRR10379722.bam" "bam/SRR10379723.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR10379724.bam	bam/SRR10379725.bam	bam/SRR10379726.bam	bam/SRR10379721.bam	bam/SRR10379722.bam	bam/SRR10379723.bam
gene-SAOUHSC_00044	CP000253.1	46473	47333	+	861	805	977	73	1883	1313	1546
gene-SAOUHSC_00045	CP000253.1	47689	48222	-	534	316	521	72	144	91	154
gene-SAOUHSC_00046	CP000253.1	48313	49056	+	744	491	707	34	422	325	391
gene-SAOUHSC_00047	CP000253.1	49490	50092	+	603	497	946	50	728	423	502
gene-SAOUHSC_00049	CP000253.1	50359	53511	+	3153	2405	3242	332	2760	1817	2104
gene-SAOUHSC_00050	CP000253.1	53568	54050	+	483	938	1305	113	1498	923	1216
gene-SAOUHSC_00051	CP000253.1	54255	55241	+	987	510	725	195	458	232	256
gene-SAOUHSC_00052	CP000253.1	55462	56232	+	771	91	144	19	187	107	143
gene-SAOUHSC_00053	CP000253.1	56284	57054	+	771	192	364	29	252	174	235
gene-SAOUHSC_00054	CP000253.1	57118	57888	+	771	261	412	42	404	293	326
gene-SAOUHSC_00055	CP000253.1	57955	58722	+	768	395	538	55	677	428	500
gene-SAOUHSC_00056	CP000253.1	58855	61053	+	2199	4950	7006	754	3651	2832	2396
gene-SAOUHSC_00057	CP000253.1	61204	62382	+	1179	793	933	282	695	591	446
gene-SAOUHSC_00058	CP000253.1	62384	63772	+	1389	1271	1991	416	1080	773	675
gene-SAOUHSC_00060	CP000253.1	64265	65926	-	1662	2336	2025	798	2061	1593	2005
gene-SAOUHSC_00061	CP000253.1	66252	68027	-	1776	2753	3423	887	2426	1611	1499
gene-SAOUHSC_00062	CP000253.1	68201	69073	-	873	106	109	14	233	106	142
gene-SAOUHSC_00064	CP000253.1	69186	70583	+	1398	255	268	27	282	170	225
gene-SAOUHSC_00065	CP000253.1	70773	71246	+	474	1736	2054	308	433	326	308
gene-SAOUHSC_00067	CP000253.1	71508	73100	+	1593	6121	7625	2185	5430	3872	3800
gene-SAOUHSC_00069	CP000253.1	73429	74979	-	1551	9036	5106	882	2396	2397	1628
gene-SAOUHSC_00070	CP000253.1	75400	76152	-	753	970	1074	50	417	285	369
gene-SAOUHSC_00071	CP000253.1	76521	77435	-	915	11140	13500	1670	4273	4439	2480
gene-SAOUHSC_00072	CP000253.1	77516	78511	-	996	328	456	181	698	483	389
gene-SAOUHSC_00074	CP000253.1	78527	79519	-	993	733	885	56	907	553	537
gene-SAOUHSC_00075	CP000253.1	79885	80730	+	846	102	95	18	431	246	219
gene-SAOUHSC_00076	CP000253.1	80727	81737	+	1011	194	162	77	597	335	297
gene-SAOUHSC_00077	CP000253.1	81758	83512	+	1755	456	450	96	1287	698	614
gene-SAOUHSC_00078	CP000253.1	83505	84761	+	1257	280	265	143	783	416	431
gene-SAOUHSC_00079	CP000253.1	84751	86487	+	1737	497	509	93	1309	739	620
gene-SAOUHSC_00080	CP000253.1	86396	88246	+	1851	674	688	193	1614	964	870
gene-SAOUHSC_00081	CP000253.1	88221	88997	+	777	334	422	169	783	475	425
gene-SAOUHSC_00082	CP000253.1	88997	90199	+	1203	535	770	168	1343	719	720
gene-SAOUHSC_00083	CP000253.1	90203	90967	+	765	397	542	156	892	525	547
gene-SAOUHSC_A00084	CP000253.1	90905	91096	-	192	31	73	6	97	46	66
gene-SAOUHSC_00084	CP000253.1	91163	91570	+	408	214	252	20	157	87	83
gene-SAOUHSC_00085	CP000253.1	91620	92246	+	627	401	425	60	179	127	141
gene-SAOUHSC_00086	CP000253.1	92458	93234	+	777	9304	17985	10214	5205	4906	2325
gene-SAOUHSC_00087	CP000253.1	93378	93500	+	123	3	4	0	8	5	9
gene-SAOUHSC_00088	CP000253.1	93570	94550	+	981	66	52	6	174	106	127
gene-SAOUHSC_00089	CP000253.1	94513	95205	+	693	53	30	11	146	108	125
gene-SAOUHSC_00090	CP000253.1	95415	96581	+	1167	84	100	12	337	200	217
gene-SAOUHSC_00091	CP000253.1	96562	97800	+	1239	129	139	13	300	202	236
gene-SAOUHSC_00092	CP000253.1	97790	99220	+	1431	1146	1802	145	1305	878	927
gene-SAOUHSC_00093	CP000253.1	99488	100087	+	600	1322	1313	342	4172	2562	2910
gene-SAOUHSC_00094	CP000253.1	100455	101054	+	600	38295	58665	15909	70910	60050	47473
gene-SAOUHSC_00096	CP000253.1	101370	102125	-	756	1585	1840	300	2514	2084	1827
gene-SAOUHSC_A00097	CP000253.1	102228	102452	-	225	12	22	5	16	8	13
gene-SAOUHSC_00097	CP000253.1	102361	103068	+	708	1127	2192	312	5243	5310	3258
gene-SAOUHSC_00099	CP000253.1	103075	104427	+	1353	3347	5452	351	11263	12369	8062
gene-SAOUHSC_00100	CP000253.1	104508	105170	+	663	6116	8552	3777	15023	15250	11252
gene-SAOUHSC_00101	CP000253.1	105198	106376	+	1179	12716	16546	6264	19167	21779	12736
gene-SAOUHSC_00102	CP000253.1	106507	107322	-	816	292	256	70	565	428	329
gene-SAOUHSC_00103	CP000253.1	107319	108119	-	801	184	191	27	420	297	239
gene-SAOUHSC_00104	CP000253.1	108121	108894	-	774	287	291	37	624	440	401
gene-SAOUHSC_00105	CP000253.1	109108	110064	-	957	300	285	28	533	349	332
gene-SAOUHSC_00106	CP000253.1	110293	111837	+	1545	772	937	298	1345	960	907
gene-SAOUHSC_00107	CP000253.1	111888	113423	+	1536	1836	2375	532	2232	1816	1590
gene-SAOUHSC_00108	CP000253.1	113507	113710	+	204	5	19	0	24	14	14
gene-SAOUHSC_00109	CP000253.1	114083	114568	+	486	48	57	3	132	55	88
gene-SAOUHSC_00110	CP000253.1	114553	114843	+	291	48	81	5	87	47	59
gene-SAOUHSC_00111	CP000253.1	114927	115214	+	288	59	37	60	22	19	20
gene-SAOUHSC_00112	CP000253.1	115867	116088	+	222	373	614	55	301	215	225
gene-SAOUHSC_00113	CP000253.1	116538	119147	+	2610	8778	21602	5753	3077	1934	1928
gene-SAOUHSC_00114	CP000253.1	119492	120160	+	669	6073	11210	1019	1436	1572	1040
gene-SAOUHSC_00115	CP000253.1	120176	120862	+	687	7007	12968	2257	1838	2062	1264
gene-SAOUHSC_00116	CP000253.1	120865	121629	+	765	6890	15496	2341	2188	2538	1515
gene-SAOUHSC_00117	CP000253.1	121649	123472	+	1824	11080	23300	8766	4551	5361	2847
gene-SAOUHSC_00118	CP000253.1	123462	124490	+	1029	5625	13735	4285	2519	2868	1707
gene-SAOUHSC_00119	CP000253.1	124503	125612	+	1110	5325	14237	2415	2832	3063	1794
gene-SAOUHSC_00120	CP000253.1	125616	126740	+	1125	5805	14362	5602	2794	3189	1849
gene-SAOUHSC_00121	CP000253.1	126743	127369	+	627	2637	6821	1692	1245	1237	820
gene-SAOUHSC_00122	CP000253.1	127374	128483	+	1110	4184	10913	1366	1893	1852	1185
gene-SAOUHSC_00123	CP000253.1	128497	129663	+	1167	3010	7719	2229	1285	1204	819
gene-SAOUHSC_00124	CP000253.1	129656	130861	+	1206	2173	5644	725	861	732	679
gene-SAOUHSC_00125	CP000253.1	130862	132067	+	1206	4507	14905	4662	2715	2731	1716
gene-SAOUHSC_00126	CP000253.1	132078	132635	+	558	2123	8246	3304	1282	1279	860
gene-SAOUHSC_00127	CP000253.1	132635	133522	+	888	4039	10914	1820	2625	2516	1704
gene-SAOUHSC_00128	CP000253.1	133576	134838	+	1263	5370	17675	5627	3895	3747	2340
gene-SAOUHSC_00129	CP000253.1	134915	136060	+	1146	5613	15454	5475	4367	4038	2844
gene-SAOUHSC_00130	CP000253.1	136125	136451	-	327	605	914	63	1129	934	750
gene-SAOUHSC_00131	CP000253.1	136458	136841	-	384	516	783	42	814	674	551
gene-SAOUHSC_00132	CP000253.1	137268	138755	+	1488	22219	33400	3107	12912	13802	4773
gene-SAOUHSC_00133	CP000253.1	139401	140360	+	960	1615	1792	185	972	833	657
gene-SAOUHSC_00134	CP000253.1	140422	140625	-	204	251	322	15	139	149	89
gene-SAOUHSC_00135	CP000253.1	140804	141316	+	513	274	337	114	1526	856	967
gene-SAOUHSC_00136	CP000253.1	141658	142398	+	741	118	109	17	559	318	334
gene-SAOUHSC_00137	CP000253.1	142412	143386	+	975	167	195	69	825	505	531
gene-SAOUHSC_00138	CP000253.1	143383	144144	+	762	90	109	22	641	423	377
gene-SAOUHSC_00139	CP000253.1	144157	145188	+	1032	1087	1864	294	1556	937	978
gene-SAOUHSC_00141	CP000253.1	145405	145764	+	360	5679	5403	287	32049	19882	20453
gene-SAOUHSC_00142	CP000253.1	145937	146962	+	1026	431	437	114	2284	1956	1442
gene-SAOUHSC_00143	CP000253.1	147348	148598	+	1251	2139	2603	349	11837	6209	7048
gene-SAOUHSC_00144	CP000253.1	149045	156220	+	7176	60108	68464	14103	134101	77561	76936
gene-SAOUHSC_00145	CP000253.1	156233	156877	+	645	7502	7475	1048	20753	12219	11752
gene-SAOUHSC_00146	CP000253.1	157205	157684	-	480	3830	3568	2007	4057	2280	3389
gene-SAOUHSC_00147	CP000253.1	157954	158718	-	765	464	521	64	3110	1688	2776
gene-SAOUHSC_00148	CP000253.1	158734	159975	-	1242	554	679	160	3684	2103	3298
gene-SAOUHSC_00149	CP000253.1	159987	161018	-	1032	269	330	50	1176	631	899
gene-SAOUHSC_00150	CP000253.1	161057	162241	-	1185	533	677	155	1981	1179	1527
gene-SAOUHSC_00151	CP000253.1	162494	163849	-	1356	6792	7606	355	2326	1655	1736
gene-SAOUHSC_00152	CP000253.1	164125	164622	-	498	898	868	328	1719	1372	887
gene-SAOUHSC_00153	CP000253.1	164749	166389	-	1641	1561	3090	455	3333	2786	1606
gene-SAOUHSC_00154	CP000253.1	166583	166684	+	102	10	9	0	38	26	22
gene-SAOUHSC_00155	CP000253.1	166663	168660	-	1998	12943	12962	3509	6074	3848	3881
gene-SAOUHSC_00156	CP000253.1	169309	170349	+	1041	6903	16989	1778	3276	3937	2183
gene-SAOUHSC_00157	CP000253.1	170349	171245	+	897	2498	8081	2491	2110	2818	1502
gene-SAOUHSC_00158	CP000253.1	171257	172711	+	1455	3426	9306	2968	3655	4634	2461
gene-SAOUHSC_00160	CP000253.1	172714	173589	+	876	1828	3777	387	2758	3159	1789
gene-SAOUHSC_00161	CP000253.1	173783	174064	-	282	123	276	10	115	54	67
gene-SAOUHSC_00162	CP000253.1	174277	177066	+	2790	4582	5832	667	3347	2686	2093
gene-SAOUHSC_00163	CP000253.1	177271	178113	+	843	3116	4839	250	1253	1039	784
gene-SAOUHSC_00164	CP000253.1	178115	179038	+	924	2704	3158	290	1228	1137	721
gene-SAOUHSC_00166	CP000253.1	179025	180137	+	1113	2862	5045	487	1756	1589	1167
gene-SAOUHSC_00167	CP000253.1	180402	181994	-	1593	671	779	205	3925	2485	2786
gene-SAOUHSC_00168	CP000253.1	181951	183429	+	1479	359	350	43	1666	1251	1313
gene-SAOUHSC_00169	CP000253.1	183435	184598	+	1164	161	179	35	984	711	760
gene-SAOUHSC_00170	CP000253.1	184615	186390	+	1776	339	514	99	1756	1151	1377
gene-SAOUHSC_00171	CP000253.1	186428	188434	+	2007	1057	1222	301	5241	4512	4256
gene-SAOUHSC_00172	CP000253.1	188732	189505	-	774	453	433	24	2723	2146	2283
gene-SAOUHSC_00173	CP000253.1	189695	190321	-	627	1113	1488	86	41082	24844	35322
gene-SAOUHSC_00174	CP000253.1	190530	191108	+	579	1760	2426	492	3068	3437	1869
gene-SAOUHSC_00175	CP000253.1	191491	192588	+	1098	300	415	79	549	420	351
gene-SAOUHSC_00176	CP000253.1	192601	193872	+	1272	249	353	72	1061	902	752
gene-SAOUHSC_00177	CP000253.1	193875	195143	+	1269	325	528	110	1307	1233	922
gene-SAOUHSC_00178	CP000253.1	195145	195984	+	840	231	296	33	924	919	669
gene-SAOUHSC_00179	CP000253.1	196058	197134	+	1077	384	563	227	1732	1755	1273
gene-SAOUHSC_00180	CP000253.1	197159	198199	+	1041	436	584	185	1721	1755	1248
gene-SAOUHSC_00181	CP000253.1	198254	199222	+	969	599	609	128	2195	2145	1533
gene-SAOUHSC_00182	CP000253.1	199583	200155	-	573	877	985	44	678	441	470
gene-SAOUHSC_00183	CP000253.1	200310	201689	+	1380	2315	1434	600	3416	4767	3728
gene-SAOUHSC_00184	CP000253.1	202048	202806	-	759	548	607	99	553	308	417
gene-SAOUHSC_00185	CP000253.1	202799	204355	-	1557	944	1434	157	880	528	591
gene-SAOUHSC_00186	CP000253.1	204352	205320	-	969	743	860	120	552	347	370
gene-SAOUHSC_00187	CP000253.1	205908	208157	+	2250	116231	174948	49197	12519	10025	7168
gene-SAOUHSC_00188	CP000253.1	208180	208935	+	756	39213	70635	26722	5521	4092	3008
gene-SAOUHSC_00189	CP000253.1	209039	209233	+	195	209	486	46	140	88	90
gene-SAOUHSC_00190	CP000253.1	209271	211034	+	1764	1621	2188	204	1406	893	978
gene-SAOUHSC_00191	CP000253.1	211198	211542	-	345	4812	4521	96	4090	3293	2200
gene-SAOUHSC_00192	CP000253.1	211732	213642	+	1911	6000	3034	299	6188	9565	5373
gene-SAOUHSC_00193	CP000253.1	213824	213931	-	108	330	198	2	260	410	301
gene-SAOUHSC_00194	CP000253.1	213950	214120	-	171	119	171	34	397	575	327
gene-SAOUHSC_00195	CP000253.1	214246	215430	-	1185	842	1837	496	3129	5647	2109
gene-SAOUHSC_00196	CP000253.1	215460	217721	-	2262	1734	5416	576	4084	8464	2702
gene-SAOUHSC_00197	CP000253.1	217907	219118	-	1212	1823	5282	871	1924	5251	1231
gene-SAOUHSC_00198	CP000253.1	219230	220735	-	1506	7394	14217	1265	3408	8153	1951
gene-SAOUHSC_00199	CP000253.1	220761	222338	-	1578	23791	38375	4536	4259	9314	2327
gene-SAOUHSC_00200	CP000253.1	222779	223921	+	1143	903	1262	170	1100	614	734
gene-SAOUHSC_00201	CP000253.1	224235	225647	-	1413	1444	1708	151	2661	1358	1955
gene-SAOUHSC_00202	CP000253.1	225908	226264	-	357	494	670	105	382	219	245
gene-SAOUHSC_00203	CP000253.1	226421	226594	-	174	524	788	108	212	105	129
gene-SAOUHSC_00204	CP000253.1	226620	227765	-	1146	6141	11262	1033	2257	1446	1230
gene-SAOUHSC_00205	CP000253.1	227920	228027	+	108	28	44	3	56	35	45
gene-SAOUHSC_00206	CP000253.1	228482	229291	+	810	132326	251465	57681	14647	13928	10757
gene-SAOUHSC_00208	CP000253.1	229502	229645	+	144	35	13	6	16	18	13
gene-SAOUHSC_00209	CP000253.1	229611	231140	-	1530	1811	1279	640	1933	1514	1228
gene-SAOUHSC_00211	CP000253.1	231502	232437	+	936	491	608	289	444	311	278
gene-SAOUHSC_00212	CP000253.1	232547	232645	+	99	0	0	0	6	2	3
gene-SAOUHSC_00213	CP000253.1	232776	234872	+	2097	422	419	32	724	412	399
gene-SAOUHSC_00214	CP000253.1	234857	235324	+	468	31	25	4	142	75	89
gene-SAOUHSC_00215	CP000253.1	235347	235625	+	279	26	23	2	72	51	60
gene-SAOUHSC_00216	CP000253.1	235852	237111	+	1260	231	212	33	671	388	395
gene-SAOUHSC_00217	CP000253.1	237129	238184	+	1056	272	299	77	725	425	415
gene-SAOUHSC_00218	CP000253.1	238186	238332	+	147	18	13	6	40	28	35
gene-SAOUHSC_00219	CP000253.1	238356	239399	+	1044	518	539	192	1249	690	689
gene-SAOUHSC_00220	CP000253.1	239969	240643	+	675	2509	3834	1234	996	949	563
gene-SAOUHSC_00221	CP000253.1	240636	241661	+	1026	3086	3520	445	1346	1150	785
gene-SAOUHSC_A00219	CP000253.1	241570	241857	-	288	279	686	74	161	124	89
gene-SAOUHSC_00222	CP000253.1	241836	243377	+	1542	4731	6531	1134	2906	2200	1900
gene-SAOUHSC_00223	CP000253.1	243805	244974	+	1170	1731	2662	349	2226	1779	1222
gene-SAOUHSC_00225	CP000253.1	245250	245966	+	717	3115	3366	525	2959	2362	1964
gene-SAOUHSC_00226	CP000253.1	245959	246984	+	1026	6585	9415	1345	6708	5131	4857
gene-SAOUHSC_00227	CP000253.1	247006	248694	+	1689	12835	20284	2370	15145	11420	11887
gene-SAOUHSC_00228	CP000253.1	248727	250451	+	1725	21483	32513	6676	33172	26103	27145
gene-SAOUHSC_00229	CP000253.1	250591	251265	+	675	1654	3852	510	925	582	597
gene-SAOUHSC_00230	CP000253.1	251527	253266	+	1740	5297	7434	1089	1209	969	805
gene-SAOUHSC_00231	CP000253.1	253269	254009	+	741	599	1014	75	312	185	178
gene-SAOUHSC_00232	CP000253.1	254122	254565	+	444	371	2348	180	187	230	150
gene-SAOUHSC_00233	CP000253.1	254558	255259	+	702	1086	4959	1700	966	1045	592
gene-SAOUHSC_00234	CP000253.1	255367	256071	-	705	802	1018	67	1390	1051	929
gene-SAOUHSC_00235	CP000253.1	256220	257011	+	792	165	284	19	821	453	443
gene-SAOUHSC_00236	CP000253.1	257027	258463	+	1437	249	366	106	1260	893	792
gene-SAOUHSC_00237	CP000253.1	258896	259657	-	762	295	340	28	695	500	425
gene-SAOUHSC_00238	CP000253.1	259676	259810	+	135	13	13	2	39	12	28
gene-SAOUHSC_00239	CP000253.1	259908	260822	-	915	1895	3652	952	2707	2371	1359
gene-SAOUHSC_00240	CP000253.1	260850	261254	-	405	785	1727	139	1157	1009	648
gene-SAOUHSC_00241	CP000253.1	261269	262150	-	882	1566	1871	903	2563	2200	1373
gene-SAOUHSC_00242	CP000253.1	262382	263380	-	999	1960	2271	594	1754	1364	1098
gene-SAOUHSC_00243	CP000253.1	263531	263710	+	180	66	44	0	217	71	152
gene-SAOUHSC_00244	CP000253.1	263760	264152	+	393	317	411	16	954	562	876
gene-SAOUHSC_00245	CP000253.1	264380	264784	+	405	396	420	51	682	524	395
gene-SAOUHSC_00246	CP000253.1	264825	266201	-	1377	1803	1596	201	3007	2636	1734
gene-SAOUHSC_00247	CP000253.1	266435	267427	+	993	657	901	138	1125	786	701
gene-SAOUHSC_00248	CP000253.1	267753	268703	+	951	1172	1671	752	1832	1586	1271
gene-SAOUHSC_00249	CP000253.1	268755	269414	-	660	298	337	27	518	317	336
gene-SAOUHSC_00250	CP000253.1	269428	270348	-	921	295	345	15	458	275	337
gene-SAOUHSC_00251	CP000253.1	270345	271511	-	1167	270	292	28	587	297	344
gene-SAOUHSC_00253	CP000253.1	271579	273102	-	1524	671	695	33	1923	1088	1529
gene-SAOUHSC_00254	CP000253.1	273373	274026	+	654	86	66	4	106	71	90
gene-SAOUHSC_00255	CP000253.1	274060	274647	+	588	194	207	22	481	250	342
gene-SAOUHSC_00256	CP000253.1	274790	275683	-	894	1021	1224	416	1849	1317	1348
gene-SAOUHSC_00257	CP000253.1	275931	276224	+	294	2318	3008	1722	4105	3780	2616
gene-SAOUHSC_00258	CP000253.1	276308	279337	+	3030	1159	1195	93	3940	2959	2830
gene-SAOUHSC_00259	CP000253.1	279337	279795	+	459	142	123	7	664	380	515
gene-SAOUHSC_00260	CP000253.1	279728	280009	+	282	27	18	0	34	24	38
gene-SAOUHSC_00261	CP000253.1	280022	281356	+	1335	155	157	7	393	204	231
gene-SAOUHSC_00262	CP000253.1	281378	285817	+	4440	918	879	133	2108	1246	1302
gene-SAOUHSC_00264	CP000253.1	285847	286239	+	393	122	156	16	146	78	104
gene-SAOUHSC_00265	CP000253.1	286255	286569	+	315	91	75	56	162	108	82
gene-SAOUHSC_00266	CP000253.1	286569	287243	+	675	111	140	17	233	138	167
gene-SAOUHSC_00267	CP000253.1	287243	287560	+	318	66	70	21	115	88	77
gene-SAOUHSC_00268	CP000253.1	287570	289414	+	1845	2928	4248	1450	2435	1826	1681
gene-SAOUHSC_00269	CP000253.1	289425	289916	+	492	3418	5177	503	1451	957	1032
gene-SAOUHSC_00270	CP000253.1	290124	290807	+	684	713	1019	85	420	294	341
gene-SAOUHSC_00271	CP000253.1	290954	291565	+	612	398	622	35	251	161	148
gene-SAOUHSC_00272	CP000253.1	291701	291919	+	219	472	272	21	1345	612	893
gene-SAOUHSC_00274	CP000253.1	292051	292551	+	501	83	79	12	91	55	66
gene-SAOUHSC_00275	CP000253.1	292421	293062	+	642	188	354	30	166	142	137
gene-SAOUHSC_00276	CP000253.1	293073	293573	+	501	162	352	21	167	128	112
gene-SAOUHSC_00277	CP000253.1	293584	294084	+	501	143	298	41	127	98	82
gene-SAOUHSC_00278	CP000253.1	294095	294583	+	489	134	199	25	165	75	90
gene-SAOUHSC_00279	CP000253.1	295206	295580	+	375	607	774	52	1931	1266	1623
gene-SAOUHSC_00280	CP000253.1	295733	296131	+	399	914	1083	207	2677	1579	2100
gene-SAOUHSC_00281	CP000253.1	296347	297171	-	825	2571	5262	927	783	617	617
gene-SAOUHSC_00282	CP000253.1	297408	298685	-	1278	12584	13612	1731	9872	6540	4308
gene-SAOUHSC_00284	CP000253.1	299299	300189	+	891	358	439	46	650	365	411
gene-SAOUHSC_A00283	CP000253.1	300206	300439	-	234	5	5	0	16	7	8
gene-SAOUHSC_00285	CP000253.1	300438	301487	+	1050	7258	10193	1276	3831	4549	3105
gene-SAOUHSC_00287	CP000253.1	301500	302177	+	678	7007	10377	2826	3896	4092	2872
gene-SAOUHSC_00289	CP000253.1	302336	302476	-	141	1	5	0	12	7	10
gene-SAOUHSC_00290	CP000253.1	302466	303416	+	951	3998	6164	1211	4499	3359	3421
gene-SAOUHSC_00291	CP000253.1	303759	304877	+	1119	487	1099	107	370	280	206
gene-SAOUHSC_00292	CP000253.1	304852	305775	+	924	563	1286	233	493	372	303
gene-SAOUHSC_00293	CP000253.1	305786	307006	+	1221	777	1227	151	986	601	547
gene-SAOUHSC_00294	CP000253.1	307111	308643	-	1533	1790	1302	228	3802	3831	2498
gene-SAOUHSC_00295	CP000253.1	308683	309564	-	882	1622	1203	192	2028	2399	1413
gene-SAOUHSC_00296	CP000253.1	309722	310582	+	861	1066	1788	519	1245	1116	890
gene-SAOUHSC_00297	CP000253.1	310860	311660	-	801	2897	4128	822	2298	1791	1439
gene-SAOUHSC_00298	CP000253.1	311800	312468	+	669	1054	1260	276	2725	2327	1826
gene-SAOUHSC_00299	CP000253.1	312595	313908	-	1314	490	885	65	659	460	427
gene-SAOUHSC_00300	CP000253.1	314326	316398	+	2073	44537	60419	23535	72129	62264	51582
gene-SAOUHSC_00301	CP000253.1	316640	317467	-	828	1951	2210	363	1641	1123	1041
gene-SAOUHSC_00302	CP000253.1	317540	318739	-	1200	1541	1915	426	1278	809	826
gene-SAOUHSC_00303	CP000253.1	318835	318927	+	93	40	75	5	84	44	50
gene-SAOUHSC_00304	CP000253.1	319041	320042	+	1002	474	584	116	739	461	397
gene-SAOUHSC_00305	CP000253.1	320136	320408	+	273	145	239	37	252	180	150
gene-SAOUHSC_00306	CP000253.1	320409	321209	+	801	386	423	78	618	440	359
gene-SAOUHSC_00307	CP000253.1	321199	322143	+	945	414	551	135	690	444	354
